"1级分类","1级功能描述","2级分类","2级功能描述","3级分类","3级功能描述","4级分类","4级功能描述","5级分类","5级功能描述","关键技术点","典型场景","优先级","Apstra支持状态","Apstra支持说明","CloudVision支持状态","CloudVision支持说明","iMaster NCE-Fabric + FabricInsight支持状态","iMaster NCE-Fabric + FabricInsight支持说明","AmpCon-DC（FS/Pica8）支持状态","AmpCon-DC（FS/Pica8）支持说明"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","Dashboard管理","对Dashboard管理相关状态、指标和关系进行集中展示与持续跟踪。","自定义看板","自定义看板用于持续展示和跟踪Widget、指标、布局、刷新频率。","Widget、指标、布局、刷新频率","明确自定义看板覆盖的具体对象、状态或指标，包括Widget、指标、布局、刷新频率。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：Widget、指标、布局、刷新频率","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：Widget、指标、布局、刷新频率","P1（重要）","部分支持","自定义看板：Apstra 可覆盖部分对象或状态；完整字段、工作流或展示需定制 IBA、API、NOS Telemetry 或外部集成。","部分支持","自定义看板：CloudVision 可提供部分遥测、事件或配置证据；覆盖 Widget、指标、布局、刷新频率 的完整产品化分析器、字段或闭环未核验。","部分支持/依组件、版本或硬件","自定义看板：iMaster NCE-Fabric 可提供部分管理或状态数据，但覆盖 Widget、指标、布局、刷新频率 的完整字段、工作流或分析器未核验；需按目标版本、License、CloudEngine 型号及是否部署 FabricInsight 确认。","不支持/未发现原生支持","自定义看板：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 Widget、指标、布局、刷新频率；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","Dashboard管理","对Dashboard管理相关状态、指标和关系进行集中展示与持续跟踪。","时间范围","时间范围用于持续展示和跟踪实时、1小时、24小时、7天、自定义。","实时、1小时、24小时、7天、自定义","明确时间范围覆盖的具体对象、状态或指标，包括实时、1小时、24小时、7天、自定义。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：实时、1小时、24小时、7天、自定义","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：实时、1小时、24小时、7天、自定义","P1（重要）","支持","时间范围：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 实时、1小时、24小时、7天、自定义。","支持","时间范围：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 实时、1小时、24小时、7天、自定义。","支持","时间范围：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 实时、1小时、24小时、7天、自定义，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","时间范围：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 实时、1小时、24小时、7天、自定义。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","全局态势","汇总多站点、多Fabric的规模、健康、性能、告警和变更状态。","Dashboard管理","对Dashboard管理相关状态、指标和关系进行集中展示与持续跟踪。","NOC大屏","NOC大屏用于持续展示和跟踪自动轮播、全屏展示、站点切换。","自动轮播、全屏展示、站点切换","明确NOC大屏覆盖的具体对象、状态或指标，包括自动轮播、全屏展示、站点切换。","多站点数据汇聚、统一对象模型、健康与事件聚合、Dashboard；具体范围：自动轮播、全屏展示、站点切换","NOC 多站点值守、跨 Fabric 健康巡检与运营态势汇报；关注：自动轮播、全屏展示、站点切换","P1（重要）","不支持/未发现原生支持","NOC大屏：截至 Apstra 6.1 官方资料，未发现基础产品提供该项完整原生分析器或产品化闭环；未将 Juniper DCA/Mist、外部系统或 NOS 单点能力计入。","不支持/未发现原生支持","NOC大屏：截至当前 CloudVision 官方资料，未发现基础 CloudVision 原生提供该项完整能力；未把 AVA、CV UNO、CV-CUE、DMF 或 EOS CLI/ASIC 单点能力直接计入。","部分支持/依组件、版本或硬件","NOC大屏：iMaster NCE-Fabric 可提供部分管理或状态数据，但覆盖 自动轮播、全屏展示、站点切换 的完整字段、工作流或分析器未核验；需按目标版本、License、CloudEngine 型号及是否部署 FabricInsight 确认。","不支持/未发现原生支持","NOC大屏：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 自动轮播、全屏展示、站点切换；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","物理拓扑","对物理拓扑相关状态、指标和关系进行集中展示与持续跟踪。","全局物理拓扑","全局物理拓扑用于持续展示和跟踪站点、Fabric、设备、链路关系。","站点、Fabric、设备、链路关系","明确全局物理拓扑覆盖的具体对象、状态或指标，包括站点、Fabric、设备、链路关系。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：站点、Fabric、设备、链路关系","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：站点、Fabric、设备、链路关系","P0（核心）","支持","全局物理拓扑：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 站点、Fabric、设备、链路关系。","支持","全局物理拓扑：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 站点、Fabric、设备、链路关系。","支持","全局物理拓扑：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 站点、Fabric、设备、链路关系，仍需按目标版本、License 与 CloudEngine 型号核对。","支持","全局物理拓扑：FS 官方资料明确提供交换机/链路拓扑自动发现、实时状态与链路健康、多级下钻及历史拓扑回放；覆盖 站点、Fabric、设备、链路关系。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","物理拓扑","对物理拓扑相关状态、指标和关系进行集中展示与持续跟踪。","Fabric分层拓扑","Fabric分层拓扑用于持续展示和跟踪Super-Spine、Spine、Leaf、Border。","Super-Spine、Spine、Leaf、Border","明确Fabric分层拓扑覆盖的具体对象、状态或指标，包括Super-Spine、Spine、Leaf、Border。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：Super-Spine、Spine、Leaf、Border","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：Super-Spine、Spine、Leaf、Border","P0（核心）","支持","Fabric分层拓扑：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 Super-Spine、Spine、Leaf、Border。","支持","Fabric分层拓扑：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 Super-Spine、Spine、Leaf、Border。","支持","Fabric分层拓扑：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 Super-Spine、Spine、Leaf、Border，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","Fabric分层拓扑：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 Super-Spine、Spine、Leaf、Border。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","物理拓扑","对物理拓扑相关状态、指标和关系进行集中展示与持续跟踪。","Pod/Rack拓扑","Pod/Rack拓扑用于持续展示和跟踪Pod、机架、TOR、服务器、存储。","Pod、机架、TOR、服务器、存储","明确Pod/Rack拓扑覆盖的具体对象、状态或指标，包括Pod、机架、TOR、服务器、存储。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：Pod、机架、TOR、服务器、存储","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：Pod、机架、TOR、服务器、存储","P0（核心）","支持","Pod/Rack拓扑：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 Pod、机架、TOR、服务器、存储。","部分支持","Pod/Rack拓扑：CloudVision 可提供部分遥测、事件或配置证据；覆盖 Pod、机架、TOR、服务器、存储 的完整产品化分析器、字段或闭环未核验。","支持","Pod/Rack拓扑：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 Pod、机架、TOR、服务器、存储，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","Pod/Rack拓扑：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 Pod、机架、TOR、服务器、存储。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","物理拓扑","对物理拓扑相关状态、指标和关系进行集中展示与持续跟踪。","LLDP实际拓扑","LLDP实际拓扑用于持续展示和跟踪本地接口、邻居接口、链路状态。","本地接口、邻居接口、链路状态","明确LLDP实际拓扑覆盖的具体对象、状态或指标，包括本地接口、邻居接口、链路状态。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：本地接口、邻居接口、链路状态","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：本地接口、邻居接口、链路状态","P0（核心）","支持","LLDP实际拓扑：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 本地接口、邻居接口、链路状态。","支持","LLDP实际拓扑：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 本地接口、邻居接口、链路状态。","支持","LLDP实际拓扑：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 本地接口、邻居接口、链路状态，仍需按目标版本、License 与 CloudEngine 型号核对。","支持","LLDP实际拓扑：FS 官方资料明确提供交换机/链路拓扑自动发现、实时状态与链路健康、多级下钻及历史拓扑回放；覆盖 本地接口、邻居接口、链路状态。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","物理拓扑","对物理拓扑相关状态、指标和关系进行集中展示与持续跟踪。","期望与实际拓扑","期望与实际拓扑用于持续展示和跟踪缺链、错接、反接、未知连接。","缺链、错接、反接、未知连接","明确期望与实际拓扑覆盖的具体对象、状态或指标，包括缺链、错接、反接、未知连接。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：缺链、错接、反接、未知连接","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：缺链、错接、反接、未知连接","P0（核心）","支持","期望与实际拓扑：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 缺链、错接、反接、未知连接。","部分支持","期望与实际拓扑：CloudVision 可提供部分遥测、事件或配置证据；覆盖 缺链、错接、反接、未知连接 的完整产品化分析器、字段或闭环未核验。","支持","期望与实际拓扑：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 缺链、错接、反接、未知连接，仍需按目标版本、License 与 CloudEngine 型号核对。","不支持/未发现原生支持","期望与实际拓扑：截至已核对的 FS AmpCon-DC 官方可观测性资料与 v2.2.0 发布说明，未发现产品原生完整覆盖 缺链、错接、反接、未知连接；未把 PicOS 单机 CLI、第三方系统或本地 UI 原型计入。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","物理拓扑","对物理拓扑相关状态、指标和关系进行集中展示与持续跟踪。","链路状态叠加","链路状态叠加用于持续展示和跟踪Up、Down、Degraded、Flapping。","Up、Down、Degraded、Flapping","明确链路状态叠加覆盖的具体对象、状态或指标，包括Up、Down、Degraded、Flapping。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：Up、Down、Degraded、Flapping","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：Up、Down、Degraded、Flapping","P0（核心）","支持","链路状态叠加：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 Up、Down、Degraded、Flapping。","支持","链路状态叠加：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 Up、Down、Degraded、Flapping。","支持","链路状态叠加：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 Up、Down、Degraded、Flapping，仍需按目标版本、License 与 CloudEngine 型号核对。","支持","链路状态叠加：FS 官方资料明确提供交换机/链路拓扑自动发现、实时状态与链路健康、多级下钻及历史拓扑回放；覆盖 Up、Down、Degraded、Flapping。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","物理拓扑","对物理拓扑相关状态、指标和关系进行集中展示与持续跟踪。","布线信息展示","布线信息展示用于持续展示和跟踪本端端口、对端端口、线缆、光模块。","本端端口、对端端口、线缆、光模块","明确布线信息展示覆盖的具体对象、状态或指标，包括本端端口、对端端口、线缆、光模块。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：本端端口、对端端口、线缆、光模块","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：本端端口、对端端口、线缆、光模块","P0（核心）","支持","布线信息展示：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 本端端口、对端端口、线缆、光模块。","部分支持","布线信息展示：CloudVision 可提供部分遥测、事件或配置证据；覆盖 本端端口、对端端口、线缆、光模块 的完整产品化分析器、字段或闭环未核验。","支持","布线信息展示：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 本端端口、对端端口、线缆、光模块，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","布线信息展示：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 本端端口、对端端口、线缆、光模块。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","逻辑拓扑","对逻辑拓扑相关状态、指标和关系进行集中展示与持续跟踪。","二层网络拓扑","二层网络拓扑用于持续展示和跟踪VLAN、Bridge Domain、L2VNI。","VLAN、Bridge Domain、L2VNI","明确二层网络拓扑覆盖的具体对象、状态或指标，包括VLAN、Bridge Domain、L2VNI。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：VLAN、Bridge Domain、L2VNI","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：VLAN、Bridge Domain、L2VNI","P0（核心）","支持","二层网络拓扑：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 VLAN、Bridge Domain、L2VNI。","支持","二层网络拓扑：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 VLAN、Bridge Domain、L2VNI。","支持","二层网络拓扑：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 VLAN、Bridge Domain、L2VNI，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","二层网络拓扑：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 VLAN、Bridge Domain、L2VNI。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","逻辑拓扑","对逻辑拓扑相关状态、指标和关系进行集中展示与持续跟踪。","三层网络拓扑","三层网络拓扑用于持续展示和跟踪VRF、Routing Zone、Subnet、Gateway。","VRF、Routing Zone、Subnet、Gateway","明确三层网络拓扑覆盖的具体对象、状态或指标，包括VRF、Routing Zone、Subnet、Gateway。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：VRF、Routing Zone、Subnet、Gateway","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：VRF、Routing Zone、Subnet、Gateway","P0（核心）","支持","三层网络拓扑：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 VRF、Routing Zone、Subnet、Gateway。","支持","三层网络拓扑：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 VRF、Routing Zone、Subnet、Gateway。","支持","三层网络拓扑：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 VRF、Routing Zone、Subnet、Gateway，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","三层网络拓扑：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 VRF、Routing Zone、Subnet、Gateway。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
"可视化与监控","对数据中心网络的拓扑、设备、链路、协议、业务及AIDC指标进行统一可视化和持续监控。","拓扑可视化","展示物理、逻辑、租户及AIDC拓扑关系并提供交互分析。","逻辑拓扑","对逻辑拓扑相关状态、指标和关系进行集中展示与持续跟踪。","Underlay拓扑","Underlay拓扑用于持续展示和跟踪BGP、OSPF、IS-IS、ECMP邻接。","BGP、OSPF、IS-IS、ECMP邻接","明确Underlay拓扑覆盖的具体对象、状态或指标，包括BGP、OSPF、IS-IS、ECMP邻接。","LLDP/BGP-LS/EVPN 邻接、图模型、物理与逻辑拓扑、历史状态；具体范围：BGP、OSPF、IS-IS、ECMP邻接","上线验收、连接关系核对、故障影响定位与拓扑回放；关注：BGP、OSPF、IS-IS、ECMP邻接","P0（核心）","支持","Underlay拓扑：Apstra 6.1 通过 Blueprint、Managed Devices、意图/实际状态和 Streaming Telemetry 原生覆盖；范围为 BGP、OSPF、IS-IS、ECMP邻接。","支持","Underlay拓扑：CloudVision Inventory、Topology、NetDB/Telemetry、Events 或 Compliance 原生覆盖，主要面向受管 EOS 设备；范围为 BGP、OSPF、IS-IS、ECMP邻接。","支持","Underlay拓扑：属于 iMaster NCE-Fabric 的基础管控、拓扑、设备/协议状态或配置生命周期能力；覆盖 BGP、OSPF、IS-IS、ECMP邻接，仍需按目标版本、License 与 CloudEngine 型号核对。","部分支持/依设备或版本","Underlay拓扑：拓扑自动发现、实时设备/链路状态、交换机与端口下钻、Linux Host 可见性和历史回放可覆盖部分场景；未核验完整覆盖 BGP、OSPF、IS-IS、ECMP邻接。AmpCon-DC（FS / Pica8）面向 PicOS 数据中心交换机；能力范围需按目标版本、License 与兼容硬件确认。"
